Hex Data,Direction,Length,Entropy,Label
3203000000320002000500000401ff0400080b,1,19,2.774243303,10
320100000033000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000330002000500000401ff0400080b,1,19,2.879506461,10
320100000034000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000340002000500000401ff0400080b,1,19,2.879506461,10
320100000035000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000350002000500000401ff0400080b,1,19,2.879506461,10
320100000036000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000360002000500000401ff0400080b,1,19,2.879506461,10
320100000037000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000370002000500000401ff0400080b,1,19,2.879506461,10
320100000038000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000380002000500000401ff0400080b,1,19,2.879506461,10
320100000039000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000390002000500000401ff0400080a,1,19,2.879506461,10
32010000003a000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000003a0002000500000401ff0400080a,1,19,2.879506461,10
32010000003b000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000003b0002000500000401ff0400080a,1,19,2.879506461,10
32010000003c000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000003c0002000500000401ff0400080a,1,19,2.879506461,10
32010000003d000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000003d0002000500000401ff0400080a,1,19,2.879506461,10
32010000003e000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000003e0002000500000401ff0400080a,1,19,2.879506461,10
32010000003f000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000003f0002000500000401ff0400080a,1,19,2.879506461,10
320100000040000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000400002000500000401ff0400080a,1,19,2.879506461,10
320100000041000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000410002000500000401ff0400080a,1,19,2.879506461,10
320100000042000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000420002000500000401ff0400080a,1,19,2.879506461,10
