Hex Data,Length,Entropy,Label
000000000006ff0408d20002,12,2.292481250360578,4
7d000000002fff042c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,53,0.6698412086270578,4
000100000006ff020063001e,12,2.292481250360578,4
000100000007ff0204bd4f6739,13,3.085055102756477,4
297500000006ff0400300028,12,2.617492461184755,4
297500000053ff0450303030303030303030303030303333333730000000000000000000000000000058303030303632353633353800000000000000000000000000000000000000000fe80000000600000000000000000000,89,2.3268406274304674,4
297600000006ff0400300028,12,2.617492461184755,4
023400000006ff0400300028,12,2.617492461184755,4
4f4f00000006ff0400300028,12,2.4508257945180882,4
30da00000006ff0400300028,12,2.4508257945180882,4
311500000006ff0400300028,12,2.617492461184755,4
297600000053ff0450303030303030303030303030303333333730000000000000000000000000000058303030303632353633353800000000000000000000000000000000000000000fe80000000600000000000000000000,89,2.3268406274304674,4
297900000006ff0200cb001e,12,2.617492461184755,4
023400000053ff04503030303030303030303030303033363835380000000000000000000000000000585830303036323536383232000000000000000000000000000000000000000000000000000000000000000000000000,89,2.140402570310892,4
30da00000053ff04503030303030303030303030303038393932360000000000000000000000000000303030303036323438353235000000000000000000000000000000000000000000000000000000000000000000000000,89,2.014550348388407,4
4f4f00000053ff04503030303030303030303030303038393836300000000000000000000000000000583030303036323438353234000000000000000000000000000000000000000000000000000000000000000000000000,89,2.0780556599554467,4
023700000006ff0200cb001e,12,2.4508257945180882,4
30dd00000006ff0200cb001e,12,2.617492461184755,4
4f5200000006ff0200cb001e,12,2.617492461184755,4
311500000053ff04503030303030303030303030303038393932360000000000000000000000000000303030303036323534323637000000000000000000000000000000000000000000590000000600000000000000000000,89,2.252563571743535,4
311800000006ff0200cb001e,12,2.617492461184755,4
30db000000e9ff04e60000000200000006271000000000000000000000003c000c003c000c01f4001e000401fb00050000000500e9000800000000006e000d00bf00070024003f00150005001e008c0028000a000600060006000700050000000000000000000000000000000000320000000f012c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006d686967672073696c766961202020202020202020204e6f6e6520200000,239,2.403494268467148,4
2977000000e9ff04e60032000300000004000000000000000000000000003c000b003c000b0258001e000401fe006e0000000500e40008000000000073000f00950005000f001000150083002a001c00280017002500060009000a000a00000000000000000000000000000000003700000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006b73747279206b7369657a6e69637a6b6130392020206b73747279200384,239,2.4973390053875812,4
4f50000000e9ff04e60005000100000001271000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004e6f6e6520200000,239,0.6441290576471773,4
0235000000e9ff04e600000003000000012710000000000000000000000046000a0046000a02ee001e000401ee005d0000000500dc0008000000000073000f00aa0007001100450014003d002300150028000f00070009000b000f000a0000000000000000000000000000000000390000000d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069636f6c6c2069636f6c6c20202020202020202020204e6f6e6520200000,239,2.3214653082228884,4
3116000000e9ff04e60032000200000005271200000000000000000000003c000b003c000b02ee001e000401fb00050000000500e70008000000000078001100a30007000e003f00150068001e00910028000e00230006000b0007000800000000000000000000000000000000003d0000000f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005245445741207279616e3120202020202020202020204e6f6e6520200000,239,2.403413415694974,4
485a00000008ff0f000700030100,14,2.699513850319966,4
297a00000008ff0f000500010100,14,2.556656707462823,4
297900000007ff02047ca3c801,13,3.334679141051595,4
485a00000006ff0f00070003,12,2.617492461184755,4
485b00000008ff0f000500010100,14,2.556656707462823,4
059100000006ff010000000a,12,2.292481250360578,4
6e3500000008ff0f000000010100,14,2.260820318171659,4
023800000008ff0f000000010100,14,2.260820318171659,4
023700000007ff02045c830000,13,2.6535442970305683,4
023900000008ff0f000500010100,14,2.556656707462823,4
023800000006ff0f00000001,12,2.292481250360578,4
6e3500000006ff0f00000001,12,2.292481250360578,4
6e3700000008ff0f000500010100,14,2.556656707462823,4
485b00000006ff0f00050001,12,2.617492461184755,4
485f00000006ff0408ab0016,12,2.9182958340544896,4
059100000005ff01020100,11,2.3685225277282065,4
059200000006ff020000000b,12,2.292481250360578,4
6e3700000006ff0f00050001,12,2.617492461184755,4
485f0000002fff042c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,53,0.802152982320766,4
486000000006ff0408d20002,12,2.9182958340544896,4
059200000005ff02020200,11,2.1180782093497093,4
059400000008ff0f000500010100,14,2.4137995646056805,4
000200000006ff010000000a,12,1.9473387961875537,4
2f1500000008ff0f000500010100,14,2.556656707462823,4
2f1500000006ff0f00050001,12,2.617492461184755,4
486100000006ff020063001e,12,2.617492461184755,4
311800000007ff02041cc22200,13,3.085055102756477,4
30dd00000007ff02045ca30000,13,2.8073904508767225,4
4f5200000007ff02041c830000,13,2.8073904508767225,4
6e3800000006ff010000000a,12,2.292481250360578,4
2f1600000006ff0400300028,12,2.617492461184755,4
2f1600000053ff04503030303030303030303030303033333337300000000000000000000000000000303030303036323539313639000000000000000000000000000000000000000000000000000000000000000000000000,89,2.059494168613126,4
486100000007ff0204ad4f6529,13,3.334679141051595,4
6e3800000005ff01020000,11,2.4040097573248604,4
6e3900000006ff020000000b,12,2.292481250360578,4
2f1700000006ff0400300028,12,2.617492461184755,4
198900000006ff0400300028,12,2.617492461184755,4
2f1700000053ff04503030303030303030303030303033333337300000000000000000000000000000303030303036323539313639000000000000000000000000000000000000000000000000000000000000000000000000,89,2.059494168613126,4
2f1a00000006ff0200cb001e,12,2.617492461184755,4
198900000053ff04504e4f2050524f4455435420202020202020200000000000000000000000000000585858303036323435323833000000000000000000000000000000000000000000000000000000000000000000000000,89,2.6008570645956812,4
198c00000006ff0200cb001e,12,2.617492461184755,4
2f18000000e9ff04e60000000300000001271000000000000000000000003c000b003c000b02bc001e000401fc00330000000500df0008000000000073000f00930007000d008b00150061001e0097002a000c00100006000a000a000a0000000000000000000000000000000000420000000f0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041444d494e20313233343536202020202020202020204e6f6e6520200000,239,2.4081055909730944,4
198a000000e9ff04e600000003000000012710000000000000000000000046000a0046000a03e8001e000401fb00050000000500f00005000000000078000c00930003000900960028000f001e002d002800280006001e000a000a000a00000000000000000000000000000000003c0000000a012c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006c6361727220696c6f7665756b6174202020202020206c63617272200384,239,2.4564862481997687,4
198d00000008ff0f000500010100,14,2.556656707462823,4
000200000005ff0102c103,11,2.5503407095463886,4
000500000008ff0f000500010100,14,2.1179631753145163,4
198c00000007ff02041c830000,13,2.8073904508767225,4
059400000006ff0f00050001,12,2.4508257945180882,4
4f5300000008ff0f000500010100,14,2.556656707462823,4
4f5300000006ff0f00050001,12,2.617492461184755,4
297a00000006ff0f00050001,12,2.617492461184755,4
6e3900000005ff02020300,11,2.5503407095463886,4
000500000006ff0f00050001,12,2.125814583693911,4
2ae300000009ff0f0009000a02ff03,15,2.8662478973127308,4
30de00000008ff0f000500010100,14,2.556656707462823,4
30de00000006ff0f00050001,12,2.617492461184755,4
2ae500000008ff0f000600010100,14,2.556656707462823,4
2ae300000006ff0f0009000a,12,2.617492461184755,4
023900000006ff0f00050001,12,2.617492461184755,4
486200000006ff010000000a,12,2.292481250360578,4
299800000009ff0f0009000a02ff03,15,2.8662478973127308,4
311900000008ff0f000500010100,14,2.556656707462823,4
311900000006ff0f00050001,12,2.617492461184755,4
486200000005ff01020000,11,2.4040097573248604,4
486300000006ff020000000b,12,2.292481250360578,4
2ae500000006ff0f00060001,12,2.4508257945180882,4
299800000006ff0f0009000a,12,2.617492461184755,4
299a00000008ff0f000600010100,14,2.556656707462823,4
2f1a00000007ff02041c830000,13,2.8073904508767225,4
198d00000006ff0f00050001,12,2.617492461184755,4
486300000005ff02020200,11,2.2998963911678914,4
299a00000006ff0f00060001,12,2.4508257945180882,4
2f1b00000006ff0100000007,12,2.292481250360578,4
2f1b00000004ff010100,10,2.3219280948873626,4
2f1c00000006ff0100000007,12,2.292481250360578,4
2f1c00000004ff010100,10,2.3219280948873626,4
2f1d00000006ff020000000a,12,2.292481250360578,4
2f1d00000005ff02020200,11,2.2998963911678914,4
059500000006ff04018f0002,12,2.9182958340544896,4
059500000007ff0404b600477f,13,2.9312089489103235,4
059a00000006ff020063001e,12,2.617492461184755,4
198e00000006ff0100000007,12,2.292481250360578,4
198e00000004ff010100,10,2.3219280948873626,4
198f00000006ff0100000007,12,2.292481250360578,4
198f00000004ff010100,10,2.3219280948873626,4
199000000006ff020000000a,12,2.292481250360578,4
199000000005ff02020300,11,2.5503407095463886,4
023a00000006ff0100000007,12,2.292481250360578,4
023a00000004ff010100,10,2.3219280948873626,4
023b00000006ff020000000a,12,2.125814583693911,4
023b00000005ff02020200,11,2.004886164091843,4
059a00000007ff0204bd0f6739,13,3.334679141051595,4
297b00000006ff0100000006,12,2.125814583693911,4
297b00000004ff010101,10,2.3709505944546687,4
297c00000006ff020000000a,12,2.292481250360578,4
297c00000005ff02020300,11,2.5503407095463886,4
299b00000006ff0402bb0010,12,2.9182958340544896,4
299b00000023ff04200000000000000000000000000000000000000000000000000000000000000000,41,0.9788957706406736,4
299c00000006ff020063001e,12,2.617492461184755,4
486400000008ff0f000000010101,14,2.359879028736861,4
297d00000008ff0f000000010100,14,2.260820318171659,4
297d00000006ff0f00000001,12,2.292481250360578,4
297e00000008ff0f000500010100,14,2.556656707462823,4
297e00000006ff0f00050001,12,2.617492461184755,4
486400000006ff0f00000001,12,2.292481250360578,4
486600000008ff0f000500010100,14,2.556656707462823,4
6e3a00000008ff0f000700030100,14,2.699513850319966,4
023c00000008ff0f000500010100,14,2.556656707462823,4
023c00000006ff0f00050001,12,2.617492461184755,4
299c00000007ff020400000000,13,2.1887870678023824,4
000600000006ff04018f0002,12,2.4508257945180882,4
6e3a00000006ff0f00070003,12,2.617492461184755,4
6e3b00000008ff0f000500010100,14,2.556656707462823,4
486600000006ff0f00050001,12,2.617492461184755,4
000600000007ff0404a00045a3,13,2.6535442970305683,4
000a00000006ff0408d20002,12,2.617492461184755,4
059b00000008ff0f000700030100,14,2.699513850319966,4
2f1e00000008ff0f000500010100,14,2.556656707462823,4
2f1e00000006ff0f00050001,12,2.617492461184755,4
4f5400000006ff0100000006,12,2.125814583693911,4
4f5400000004ff010103,10,2.6464393446710157,4
4f5500000006ff0100000006,12,2.125814583693911,4
30df00000006ff0100000006,12,2.125814583693911,4
311a00000006ff0100000006,12,2.125814583693911,4
4f5500000004ff010103,10,2.6464393446710157,4
30df00000004ff010101,10,2.3709505944546687,4
4f5600000006ff020000000a,12,2.292481250360578,4
30e000000006ff020000000a,12,2.292481250360578,4
311a00000004ff010101,10,2.3709505944546687,4
311b00000006ff020000000a,12,2.292481250360578,4
4f5600000005ff02020700,11,2.5503407095463886,4
30e000000005ff02020100,11,2.5503407095463886,4
311b00000005ff02020200,11,2.2998963911678914,4
199100000008ff0f000500010100,14,2.556656707462823,4
199100000006ff0f00050001,12,2.617492461184755,4
4f5700000008ff0f000500010100,14,2.556656707462823,4
4f5700000006ff0f00050001,12,2.617492461184755,4
6e3b00000006ff0f00050001,12,2.617492461184755,4
000a00000007ff040400000000,13,1.7004397181410922,4
000b00000008ff0f000700030107,14,2.556656707462823,4
059b00000006ff0f00070003,12,2.617492461184755,4
059c00000008ff0f000500010100,14,2.4137995646056805,4
2ae600000009ff0f0009000a02ff03,15,2.8662478973127308,4
30e100000008ff0f000500010100,14,2.556656707462823,4
30e100000006ff0f00050001,12,2.617492461184755,4
000b00000006ff0f00070003,12,2.292481250360578,4
000d00000008ff0f000500010100,14,2.260820318171659,4
059c00000006ff0f00050001,12,2.4508257945180882,4
2ae600000006ff0f0009000a,12,2.617492461184755,4
2ae800000008ff0f000600010100,14,2.556656707462823,4
299d00000009ff0f0009000a02ff03,15,2.8662478973127308,4
311c00000008ff0f000500010100,14,2.556656707462823,4
311c00000006ff0f00050001,12,2.617492461184755,4
299d00000006ff0f0009000a,12,2.617492461184755,4
299f00000008ff0f000600010100,14,2.556656707462823,4
000d00000006ff0f00050001,12,2.292481250360578,4
2ae800000006ff0f00060001,12,2.4508257945180882,4
2ae900000006ff040001006a,12,2.617492461184755,4
299f00000006ff0f00060001,12,2.4508257945180882,4
29a300000006ff0400650002,12,2.617492461184755,4
6e3c00000006ff04018f0002,12,2.9182958340544896,4
059d00000006ff010000000a,12,2.292481250360578,4
2aed00000006ff0400670002,12,2.617492461184755,4
6e3c00000007ff0404ec004620,13,2.9312089489103235,4
6e4000000006ff0408d20002,12,2.9182958340544896,4
2aea0000008bff0488000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006461696d006e20203130313136300000000000000000000020206f4e656e000000000000,145,1.348310752255033,4
059d00000005ff01020100,11,2.3685225277282065,4
059e00000006ff020000000b,12,2.292481250360578,4
29a10000008bff0488000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006461696d006e00003130313136300000000000000000000000006461696d006e000003e7,145,1.290686060963973,4
29a400000006ff0400670002,12,2.617492461184755,4
6e4000000007ff040400000000,13,2.0349409139562287,4
6e4100000006ff020063001e,12,2.617492461184755,4
059e00000005ff02020200,11,2.1180782093497093,4
000e00000006ff010000000a,12,1.9473387961875537,4
6e4100000007ff0204bd4f6739,13,3.334679141051595,4
29a400000007ff04040003271f,13,2.9312089489103235,4
000e00000005ff0102c103,11,2.7321588913645707,4
000f00000006ff020000000b,12,1.9473387961875537,4
000f00000005ff02020000,11,1.867633890971212,4
2aee00000006ff0100000013,12,2.292481250360578,4
29a500000006ff0100000013,12,2.292481250360578,4
2aee00000006ff010300ff07,12,2.751629167387823,4
2aef00000006ff020000000c,12,2.292481250360578,4
2af000000006ff0402bb0010,12,2.9182958340544896,4
29a500000006ff010300ff07,12,2.751629167387823,4
29a600000006ff020000000c,12,2.292481250360578,4
2f1f00000006ff0100000007,12,2.292481250360578,4
2f1f00000004ff010100,10,2.3219280948873626,4
2f2000000006ff0100000007,12,2.292481250360578,4
2f2000000004ff010100,10,2.3219280948873626,4
2f2100000006ff020000000a,12,2.292481250360578,4
2f2100000005ff02020300,11,2.5503407095463886,4
059f00000006ff04018f0002,12,2.9182958340544896,4
059f00000007ff0404b600477f,13,2.9312089489103235,4
05a300000006ff0408d20002,12,2.9182958340544896,4
2af100000006ff020063001e,12,2.617492461184755,4
2af000000023ff04200000000000000000000000000000000000000000000000000000000000000000,41,0.9788957706406736,4
199200000006ff0100000007,12,2.292481250360578,4
199200000004ff010100,10,2.3219280948873626,4
199300000006ff020000000a,12,2.292481250360578,4
199300000005ff02020200,11,2.2998963911678914,4
29a600000005ff02020100,11,2.5503407095463886,4
023d00000006ff0100000007,12,2.292481250360578,4
023d00000004ff010100,10,2.3219280948873626,4
023e00000006ff020000000a,12,2.125814583693911,4
023e00000005ff02020300,11,2.2998963911678914,4
297f00000006ff0100000006,12,2.125814583693911,4
297f00000004ff010100,10,2.3219280948873626,4
05a300000007ff040400000000,13,2.0349409139562287,4
298000000006ff0100000006,12,2.125814583693911,4
05a400000006ff020063001e,12,2.617492461184755,4
298000000004ff010100,10,2.3219280948873626,4
298100000006ff020000000a,12,2.292481250360578,4
298100000005ff02020200,11,2.2998963911678914,4
2af100000007ff020400000000,13,2.1887870678023824,4
05a400000007ff0204bd0f6739,13,3.334679141051595,4
001000000006ff04018f0002,12,2.617492461184755,4
001500000006ff020063001e,12,2.292481250360578,4
001000000007ff0404a00045a3,13,2.6535442970305683,4
4f5800000006ff0100000006,12,2.125814583693911,4
30e200000006ff0100000006,12,2.125814583693911,4
311d00000006ff0100000006,12,2.125814583693911,4
4f5800000004ff010103,10,2.6464393446710157,4
4f5900000006ff020000000a,12,2.292481250360578,4
30e200000004ff010101,10,2.3709505944546687,4
311d00000004ff010101,10,2.3709505944546687,4
30e300000006ff020000000a,12,2.292481250360578,4
311e00000006ff020000000a,12,2.292481250360578,4
4f5900000005ff02020600,11,2.5503407095463886,4
311e00000005ff02020300,11,2.5503407095463886,4
30e300000005ff02020000,11,2.2221915755066783,4
001500000007ff0204bd4f6739,13,3.085055102756477,4
298200000006ff0400300028,12,2.617492461184755,4
298200000053ff0450303030303030303030303030303333333730000000000000000000000000000058303030303632353633353800000000000000000000000000000000000000000fef0000000600000000000000000000,89,2.3268406274304674,4
298300000006ff0400300028,12,2.617492461184755,4
023f00000006ff0400300028,12,2.617492461184755,4
4f5a00000006ff0400300028,12,2.617492461184755,4
30e400000006ff0400300028,12,2.4508257945180882,4
311f00000006ff0400300028,12,2.617492461184755,4
298300000053ff0450303030303030303030303030303333333730000000000000000000000000000058303030303632353633353800000000000000000000000000000000000000000fef0000000600000000000000000000,89,2.3268406274304674,4
298600000006ff0200cb001e,12,2.617492461184755,4
4f5a00000053ff04503030303030303030303030303038393836300000000000000000000000000000583030303036323438353234000000000000000000000000000000000000000000000000000000000000000000000000,89,2.100527570067806,4
023f00000053ff04503030303030303030303030303033363835380000000000000000000000000000585830303036323536383232000000000000000000000000000000000000000000000000000000000000000000000000,89,2.140402570310892,4
30e400000053ff04503030303030303030303030303038393932360000000000000000000000000000303030303036323438353235000000000000000000000000000000000000000000000000000000000000000000000000,89,2.014550348388407,4
4f5d00000006ff0200cb001e,12,2.617492461184755,4
024200000006ff0200cb001e,12,2.4508257945180882,4
30e700000006ff0200cb001e,12,2.617492461184755,4
311f00000053ff04503030303030303030303030303038393932360000000000000000000000000000303030303036323534323637000000000000000000000000000000000000000000590000000600000000000000000000,89,2.252563571743535,4
312200000006ff0200cb001e,12,2.617492461184755,4
2984000000e9ff04e60032000300000004000000000000000000000000003c000b003c000b0258001e000401fe006e0000000500e40008000000000073000f00950005000f001000150083002a001c00280017002500060009000a000a00000000000000000000000000000000003700000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006b73747279206b7369657a6e69637a6b6130392020206b73747279200384,239,2.4889708045507613,4
30e5000000e9ff04e60000000200000006271000000000000000000000003c000c003c000c01f4001e000401fb00050000000500e9000800000000006e000d00bf00070024003f00150005001e008c0028000a000600060006000700050000000000000000000000000000000000320000000f012c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006d686967672073696c766961202020202020202020204e6f6e6520200000,239,2.403494268467148,4
4f5b000000e9ff04e60005000100000001271000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004e6f6e6520200000,239,0.6441290576471773,4
0240000000e9ff04e600000003000000012710000000000000000000000046000a0046000a02ee001e000401ee005d0000000500dc0008000000000073000f00aa0007001100450014003d002300150028000f00070009000b000f000a0000000000000000000000000000000000390000000d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069636f6c6c2069636f6c6c20202020202020202020204e6f6e6520200000,239,2.3214653082228884,4
3120000000e9ff04e60032000200000005271200000000000000000000003c000b003c000b02ee001e000401fb00050000000500e70008000000000078001100a30007000e003f00150068001e00910028000e00230006000b0007000800000000000000000000000000000000003d0000000f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005245445741207279616e3120202020202020202020204e6f6e6520200000,239,2.3812360515722912,4
486700000008ff0f000700030100,14,2.699513850319966,4
298700000008ff0f000500010100,14,2.556656707462823,4
298600000007ff02047ca3c801,13,3.334679141051595,4
05a500000006ff010000000a,12,2.292481250360578,4
6e4200000008ff0f000700030100,14,2.699513850319966,4
6e4200000006ff0f00070003,12,2.617492461184755,4
6e4300000008ff0f000500010100,14,2.556656707462823,4
486700000006ff0f00070003,12,2.617492461184755,4
486c00000006ff0408ab0016,12,2.9182958340544896,4
024300000008ff0f000500010100,14,2.556656707462823,4
024200000007ff02045c830000,13,2.6535442970305683,4
2f2200000008ff0f000000010101,14,2.359879028736861,4
05a700000008ff0f000000010100,14,2.260820318171659,4
05a500000005ff01020100,11,2.3685225277282065,4
2f2200000006ff0f00000001,12,2.292481250360578,4
486c0000002fff042c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,53,0.802152982320766,4
6e4300000006ff0f00050001,12,2.617492461184755,4
486d00000006ff0408d20002,12,2.9182958340544896,4
05a700000006ff0f00000001,12,2.292481250360578,4
001600000006ff010000000a,12,1.9473387961875537,4
05a800000008ff0f000700030100,14,2.699513850319966,4
2f2300000008ff0f000500010100,14,2.556656707462823,4
2f2300000006ff0f00050001,12,2.617492461184755,4
199400000008ff0f000000010101,14,2.359879028736861,4
199400000006ff0f00000001,12,2.292481250360578,4
6e4400000006ff010000000a,12,2.292481250360578,4
486e00000006ff020063001e,12,2.617492461184755,4
312200000007ff02041cc22200,13,2.931208948910323,4
30e700000007ff02045ca30000,13,2.8073904508767225,4
4f5d00000007ff02041c830000,13,2.8073904508767225,4
2f2400000006ff0400300028,12,2.617492461184755,4
2f2400000053ff04503030303030303030303030303033333337300000000000000000000000000000303030303036323539313639000000000000000000000000000000000000000000000000000000000000000000000000,89,2.059494168613126,4
6e4400000005ff01020000,11,2.4040097573248604,4
6e4500000006ff020000000b,12,2.292481250360578,4
486e00000007ff02041d4f6329,13,3.334679141051595,4
2f2500000006ff0400300028,12,2.617492461184755,4
199500000006ff0400300028,12,2.617492461184755,4
2f2500000053ff04503030303030303030303030303033333337300000000000000000000000000000303030303036323539313639000000000000000000000000000000000000000000000000000000000000000000000000,89,2.059494168613126,4
199500000053ff04504e4f2050524f4455435420202020202020200000000000000000000000000000585858303036323435323833000000000000000000000000000000000000000000000000000000000000000000000000,89,2.6008570645956812,4
2f2800000006ff0200cb001e,12,2.617492461184755,4
199800000006ff0200cb001e,12,2.617492461184755,4
001600000005ff0102c103,11,2.7321588913645707,4
001900000008ff0f000700030107,14,2.556656707462823,4
1996000000e9ff04e600000003000000012710000000000000000000000046000a0046000a03e8001e000401fb00050000000500f00005000000000078000c00930003000900960028000f001e002d002800280006001e000a000a000a00000000000000000000000000000000003c0000000a012c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006c6361727220696c6f7665756b6174202020202020206c63617272200384,239,2.4481180473629487,4
2f26000000e9ff04e60000000300000001271000000000000000000000003c000b003c000b02bc001e000401fc00330000000500df0008000000000073000f00930007000d008b00150061001e0097002a000c00100006000a000a000a0000000000000000000000000000000000420000000f0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041444d494e20313233343536202020202020202020204e6f6e6520200000,239,2.4081055909730944,4
05a900000008ff0f000500010100,14,2.4137995646056805,4
05a800000006ff0f00070003,12,2.617492461184755,4
2af200000008ff0f000000010101,14,2.359879028736861,4
199900000008ff0f000500010100,14,2.556656707462823,4
199800000007ff02041c830000,13,2.8073904508767225,4
