-1.3585337,-1.1257335,-0.7913242,-1.2574682,-1.4723043,8.583504,-0.04530801,-1.0781472,-1.257595,-1.5829617,-1.1479683
-1.4943869,-1.3584533,-1.2948047,-1.4539706,-1.5862651,8.485337,1.1823854,-1.3053,-1.4091711,-1.6631551,-1.2817794
-1.0920871,-1.2455627,-0.8652263,-0.907062,-0.888472,-0.04078778,7.753908,-0.9917425,-0.8102266,-0.96306604,-0.73982286
-1.222079,-1.324334,-0.93131053,-0.7851664,-0.7584403,-0.24417205,7.7741995,-1.1159399,-0.70564914,-0.9764045,-0.83585435
-1.0427123,-0.9599487,-0.9440972,-1.2642454,-1.3161453,8.189116,-0.49411613,-1.0323628,-1.2834772,-1.3969868,-0.94699025
-1.0992354,-1.1627433,-0.94294393,-0.7605558,-0.730099,-0.11208329,7.7554555,-1.1171314,-0.87012357,-0.96693134,-0.7788525
-1.345797,-1.0010413,-0.75977325,-1.1669012,-1.4094282,8.411603,-0.32065672,-0.9565687,-1.454872,-1.6456832,-1.1844298
-1.2371389,-1.1127504,-0.7372446,-1.1782424,-1.299328,8.502514,-0.28670016,-0.96228415,-1.1951865,-1.5151101,-1.0381155
-1.3186545,-0.9092423,-0.7733333,-1.2790134,-1.3922551,8.58404,-0.04196731,-1.0165164,-1.4844813,-1.5315162,-1.0488708
-1.2096481,-1.0769615,-0.80808395,-0.85179746,-0.8559416,-0.1316592,7.774537,-1.1592414,-0.70427084,-1.1247107,-0.7256359
-1.3530467,-1.0452867,-0.97999257,-1.3194876,-1.5492665,8.600809,0.10243909,-1.1136656,-1.3469009,-1.5917431,-1.0692472
-1.6397154,-1.417597,-1.1041973,-1.2302526,-1.3703564,2.51614,7.5779,-1.2081636,-1.1062694,-1.6449418,-1.1155152
-1.7411826,-1.7120358,-1.4774276,-1.629685,-1.7913691,4.602351,6.4810543,-1.8372849,-1.2904958,-1.7922539,-1.3969555
-1.360354,-1.2020298,-0.9436316,-1.0826421,-0.67630833,0.31847686,7.653514,-1.219076,-0.76950383,-1.1489688,-0.8425579
-1.1718503,-1.1376562,-0.88270026,-0.83884954,-0.777232,-0.03562732,7.639347,-1.121416,-0.77337235,-1.014076,-0.80173844
-1.4192295,-0.99324274,-0.8298331,-1.3087409,-1.4774561,8.675024,0.09116179,-1.1650517,-1.2891467,-1.5610317,-1.1646911
-1.3773395,-1.0259435,-0.98579836,-1.2738228,-1.4271195,8.607379,0.1457111,-1.0430461,-1.4524868,-1.5778118,-1.1724255
