157,42,20,108,122,212,34,142,233,235,95,95,128,24,255,80,11,58,0,0,1,1,8,10,0,2,212,27,242,225,219,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,42,20,108,122,212,34,146,233,235,95,95,128,16,255,80,37,85,0,0,1,1,8,10,0,2,212,28,242,225,219,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,187,180,250,206,29,112,122,247,50,194,60,128,16,3,195,187,216,0,0,1,1,8,10,236,54,141,170,0,152,165,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,247,1,187,195,169,16,157,78,75,234,12,80,16,12,0,83,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,108,157,42,233,235,95,95,122,212,34,146,128,24,246,87,71,96,0,0,1,1,8,10,242,227,181,206,0,2,212,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,187,11,247,78,75,234,12,195,169,16,158,80,16,77,120,41,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,42,20,108,122,212,34,146,233,235,95,97,128,16,255,80,75,81,0,0,1,1,8,10,0,2,212,67,242,227,181,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,187,180,250,206,29,112,122,247,50,194,150,128,16,3,195,186,19,0,0,1,1,8,10,236,54,142,173,0,152,166,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,247,1,187,195,169,16,158,78,75,234,12,80,24,12,0,201,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,187,11,247,78,75,234,12,195,169,16,243,80,16,77,120,40,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
